区,町,地盤,建物倒壊危険度,火災危険度,総合危険度,駅,路線,家賃(万円)
千代田区,飯田橋１丁目,谷底低地3,2,1,1,九段下 飯田橋 水道橋,都営三田線 都営新宿線 東京メトロ南北線 東京メトロ半蔵門線 JR総武線 東京メトロ有楽町線 東京メトロ東西線 JR中央線 都営大江戸線,18.3
千代田区,飯田橋２丁目,谷底低地3,2,1,1,九段下 飯田橋 水道橋,都営三田線 都営新宿線 東京メトロ南北線 東京メトロ半蔵門線 JR総武線 東京メトロ有楽町線 東京メトロ東西線 JR中央線 都営大江戸線,18.3
千代田区,飯田橋３丁目,谷底低地3,1,1,1,九段下 飯田橋 水道橋,都営三田線 都営新宿線 東京メトロ南北線 東京メトロ半蔵門線 JR総武線 東京メトロ有楽町線 東京メトロ東西線 JR中央線 都営大江戸線,18.3
千代田区,飯田橋４丁目,谷底低地3,2,1,1,九段下 飯田橋 水道橋,都営新宿線 東京メトロ南北線 東京メトロ半蔵門線 JR総武線 東京メトロ有楽町線 東京メトロ東西線 JR中央線 都営大江戸線,18.3
千代田区,一番町,台地2,1,1,1,半蔵門 市ケ谷 麹町,東京メトロ有楽町線 東京メトロ南北線 東京メトロ半蔵門線,21.9
千代田区,岩本町１丁目,沖積低地3,3,1,2,岩本町 馬喰町 小伝馬町,JR総武線快速 都営新宿線 東京メトロ日比谷線,16.7
千代田区,岩本町２丁目,沖積低地3,3,2,2,小伝馬町 馬喰町 岩本町,JR総武線快速 都営新宿線 東京メトロ日比谷線,16.7
千代田区,岩本町３丁目,沖積低地3,2,1,1,馬喰町 岩本町 秋葉原,JR山手線 都営新宿線 JR総武線快速 JR総武線 JR京浜東北線 つくばエクスプレス線 東京メトロ日比谷線,16.7
千代田区,内神田１丁目,沖積低地2,2,1,1,淡路町 神田 大手町,JR山手線 東京メトロ半蔵門線 JR京浜東北線 東京メトロ千代田線 JR中央線 東京メトロ丸ノ内線,18.3
千代田区,内神田２丁目,沖積低地2,3,1,2,神田 大手町 新日本橋,JR山手線 JR総武線快速 JR京浜東北線 東京メトロ銀座線 JR中央線 東京メトロ丸ノ内線,18.2
千代田区,内神田３丁目,沖積低地2,3,2,2,神田 淡路町 新日本橋,JR山手線 JR総武線快速 JR京浜東北線 東京メトロ銀座線 JR中央線 東京メトロ丸ノ内線,17.9
千代田区,内幸町１丁目,沖積低地3,1,1,1,新橋 内幸町 日比谷,都営三田線 JR山手線 JR京浜東北線 JR上野東京ライン 東京メトロ銀座線 JR横須賀線 東京メトロ千代田線 東京メトロ日比谷線 JR東海道本線,20.8
千代田区,内幸町２丁目,沖積低地3,1,1,1,霞ケ関 虎ノ門 内幸町,都営三田線 東京メトロ銀座線 東京メトロ千代田線 東京メトロ日比谷線 東京メトロ丸ノ内線,25.3
