区市町名,町丁目名,地盤分類,建物倒壊危険度ランク,火災危険度ランク,総合危険度ランク,緯度,経度,最寄駅,路線
千代田区,飯田橋１丁目,谷底低地3,2,1,1,35.698471,139.74942,九段下<br>九段下<br>九段下<br>飯田橋<br>飯田橋<br>飯田橋<br>水道橋<br>水道橋<br>飯田橋<br>飯田橋<br>飯田橋<br>水道橋,都営新宿線<br>東京メトロ半蔵門線<br>東京メトロ東西線<br>東京メトロ東西線<br>JR中央線<br>JR総武線<br>JR中央線<br>JR総武線<br>都営大江戸線<br>東京メトロ有楽町線<br>東京メトロ南北線<br>都営三田線
千代田区,飯田橋２丁目,谷底低地3,2,1,1,35.699207,139.750565,九段下<br>九段下<br>九段下<br>水道橋<br>水道橋<br>飯田橋<br>飯田橋<br>飯田橋<br>水道橋<br>飯田橋<br>飯田橋<br>飯田橋,東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>JR総武線<br>JR中央線<br>東京メトロ東西線<br>JR総武線<br>JR中央線<br>都営三田線<br>都営大江戸線<br>東京メトロ南北線<br>東京メトロ有楽町線
千代田区,飯田橋３丁目,谷底低地3,1,1,1,35.701393,139.748627,飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>水道橋<br>水道橋<br>水道橋<br>九段下<br>九段下<br>九段下,東京メトロ東西線<br>JR総武線<br>JR中央線<br>都営大江戸線<br>東京メトロ有楽町線<br>東京メトロ南北線<br>JR総武線<br>JR中央線<br>都営三田線<br>東京メトロ半蔵門線<br>都営新宿線<br>東京メトロ東西線
千代田区,飯田橋４丁目,谷底低地3,2,1,1,35.700886,139.746704,飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>飯田橋<br>水道橋<br>水道橋<br>九段下<br>九段下<br>九段下,東京メトロ東西線<br>JR総武線<br>JR中央線<br>都営大江戸線<br>東京メトロ有楽町線<br>東京メトロ南北線<br>JR総武線<br>JR中央線<br>東京メトロ半蔵門線<br>都営新宿線<br>東京メトロ東西線
千代田区,一番町,台地2,1,1,1,35.687351,139.741516,半蔵門<br>麹町<br>市ケ谷,東京メトロ半蔵門線<br>東京メトロ有楽町線<br>東京メトロ南北線
千代田区,岩本町１丁目,沖積低地3,3,1,2,35.692345,139.777634,小伝馬町<br>岩本町<br>馬喰町,東京メトロ日比谷線<br>都営新宿線<br>JR総武線快速
千代田区,岩本町２丁目,沖積低地3,3,2,2,35.693527,139.776932,岩本町<br>小伝馬町<br>馬喰町,都営新宿線<br>東京メトロ日比谷線<br>JR総武線快速
千代田区,岩本町３丁目,沖積低地3,2,1,1,35.695637,139.776932,岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>馬喰町,都営新宿線<br>東京メトロ日比谷線<br>つくばエクスプレス線<br>JR総武線<br>JR山手線<br>JR京浜東北線<br>JR総武線快速
千代田区,内神田１丁目,沖積低地2,2,1,1,35.690578,139.76561,大手町<br>大手町<br>神田<br>神田<br>神田<br>大手町<br>淡路町,東京メトロ半蔵門線<br>東京メトロ丸ノ内線<br>JR中央線<br>JR京浜東北線<br>JR山手線<br>東京メトロ千代田線<br>東京メトロ丸ノ内線
千代田区,内神田２丁目,沖積低地2,3,1,2,35.690601,139.768021,神田<br>神田<br>神田<br>神田<br>大手町<br>新日本橋,JR中央線<br>JR山手線<br>JR京浜東北線<br>東京メトロ銀座線<br>東京メトロ丸ノ内線<br>JR総武線快速
千代田区,内神田３丁目,沖積低地2,3,2,2,35.691006,139.769653,神田<br>神田<br>神田<br>神田<br>新日本橋<br>淡路町,JR山手線<br>JR京浜東北線<br>JR中央線<br>東京メトロ銀座線<br>JR総武線快速<br>東京メトロ丸ノ内線
千代田区,内幸町１丁目,沖積低地3,1,1,1,35.670837,139.758118,内幸町<br>新橋<br>日比谷<br>日比谷<br>新橋<br>新橋<br>新橋<br>新橋<br>新橋,都営三田線<br>東京メトロ銀座線<br>東京メトロ千代田線<br>東京メトロ日比谷線<br>JR上野東京ライン<br>JR山手線<br>JR東海道本線<br>JR横須賀線<br>JR京浜東北線
千代田区,内幸町２丁目,沖積低地3,1,1,1,35.670811,139.754181,内幸町<br>虎ノ門<br>霞ケ関<br>霞ケ関<br>霞ケ関,都営三田線<br>東京メトロ銀座線<br>東京メトロ日比谷線<br>東京メトロ丸ノ内線<br>東京メトロ千代田線
千代田区,大手町１丁目,沖積低地3,1,1,1,35.688068,139.763931,大手町<br>大手町<br>大手町<br>大手町<br>大手町<br>神田<br>神田<br>神田<br>竹橋,東京メトロ半蔵門線<br>東京メトロ千代田線<br>東京メトロ丸ノ内線<br>都営三田線<br>東京メトロ東西線<br>JR中央線<br>JR山手線<br>JR京浜東北線<br>東京メトロ東西線
千代田区,大手町２丁目,沖積低地2,1,1,1,35.686302,139.768082,大手町<br>大手町<br>大手町<br>大手町<br>三越前<br>大手町<br>三越前<br>新日本橋,東京メトロ丸ノ内線<br>東京メトロ東西線<br>東京メトロ半蔵門線<br>東京メトロ千代田線<br>東京メトロ半蔵門線<br>都営三田線<br>東京メトロ銀座線<br>JR総武線快速
千代田区,鍛冶町１丁目,沖積低地2,3,2,2,35.690197,139.771545,神田<br>神田<br>神田<br>新日本橋<br>神田<br>三越前<br>三越前,JR京浜東北線<br>JR中央線<br>JR山手線<br>JR総武線快速<br>東京メトロ銀座線<br>東京メトロ銀座線<br>東京メトロ半蔵門線
千代田区,鍛冶町２丁目,沖積低地2,3,1,2,35.692581,139.772018,神田<br>神田<br>神田<br>神田<br>新日本橋<br>岩本町,東京メトロ銀座線<br>JR京浜東北線<br>JR山手線<br>JR中央線<br>JR総武線快速<br>都営新宿線
千代田区,霞が関１丁目,沖積低地2,1,1,1,35.673943,139.752563,霞ケ関<br>霞ケ関<br>霞ケ関<br>桜田門<br>虎ノ門,東京メトロ千代田線<br>東京メトロ丸ノ内線<br>東京メトロ日比谷線<br>東京メトロ有楽町線<br>東京メトロ銀座線
千代田区,霞が関２丁目,谷底低地3,1,1,1,35.675552,139.750412,霞ケ関<br>霞ケ関<br>霞ケ関<br>桜田門<br>国会議事堂前<br>国会議事堂前,東京メトロ千代田線<br>東京メトロ丸ノ内線<br>東京メトロ日比谷線<br>東京メトロ有楽町線<br>東京メトロ千代田線<br>東京メトロ丸ノ内線
千代田区,霞が関３丁目,沖積低地2,1,1,1,35.671825,139.746994,国会議事堂前<br>国会議事堂前<br>虎ノ門<br>霞ケ関<br>霞ケ関<br>霞ケ関,東京メトロ丸ノ内線<br>東京メトロ千代田線<br>東京メトロ銀座線<br>東京メトロ千代田線<br>東京メトロ日比谷線<br>東京メトロ丸ノ内線
千代田区,神田相生町,沖積低地2,1,1,1,35.699524,139.773605,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>末広町<br>岩本町,つくばエクスプレス線<br>JR山手線<br>JR京浜東北線<br>JR総武線<br>東京メトロ日比谷線<br>東京メトロ銀座線<br>都営新宿線
千代田区,神田淡路町１丁目,台地1,2,1,2,35.695759,139.767029,小川町<br>淡路町<br>新御茶ノ水,都営新宿線<br>東京メトロ丸ノ内線<br>東京メトロ千代田線
千代田区,神田淡路町２丁目,沖積低地2,1,1,1,35.697517,139.767838,新御茶ノ水<br>小川町<br>淡路町,東京メトロ千代田線<br>都営新宿線<br>東京メトロ丸ノ内線
千代田区,神田和泉町,沖積低地3,3,2,2,35.699703,139.777908,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>岩本町<br>浅草橋,東京メトロ日比谷線<br>つくばエクスプレス線<br>JR京浜東北線<br>JR山手線<br>JR総武線<br>都営新宿線<br>JR総武線
千代田区,神田岩本町,沖積低地2,2,1,1,35.695507,139.775009,岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>神田,都営新宿線<br>東京メトロ日比谷線<br>JR山手線<br>JR総武線<br>JR京浜東北線<br>つくばエクスプレス線<br>東京メトロ銀座線
